"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 16:59:56 MSK 2025","Tue Feb 11 16:59:57 MSK 2025","764","","ru.api.tests.UserLoginTest","","ru.api.tests.UserLoginTest","loginWithInvalidCredentials","loginWithInvalidCredentials","Логин с верным именем, но неверным email и паролем"
"failed","Tue Feb 11 16:59:41 MSK 2025","Tue Feb 11 16:59:44 MSK 2025","2318","","ru.api.tests.OrderCreationTest","","ru.api.tests.OrderCreationTest","createOrderWithInvalidIngredientsHash","createOrderWithInvalidIngredientsHash","Создание заказа с неверным хешем ингредиентов"
"passed","Tue Feb 11 16:59:49 MSK 2025","Tue Feb 11 16:59:49 MSK 2025","104","","ru.api.tests.UserCreationTest","","ru.api.tests.UserCreationTest","createUserWithoutRequiredFieldName","createUserWithoutRequiredFieldName","Создание пользователя без имени и проверка на ошибку"
"passed","Tue Feb 11 16:59:49 MSK 2025","Tue Feb 11 16:59:50 MSK 2025","102","","ru.api.tests.UserCreationTest","","ru.api.tests.UserCreationTest","createUserWithoutRequiredFieldEmail","createUserWithoutRequiredFieldEmail","Создание пользователя без email и проверка на ошибку"
"failed","Tue Feb 11 16:59:44 MSK 2025","Tue Feb 11 16:59:44 MSK 2025","108","","ru.api.tests.OrderCreationTest","","ru.api.tests.OrderCreationTest","createOrderWithNoAuthorization","createOrderWithNoAuthorization","Создание заказа без авторизации, с ингредиентами"
"passed","Tue Feb 11 16:59:50 MSK 2025","Tue Feb 11 16:59:51 MSK 2025","827","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithAuthorizationAllFields","updateUserWithAuthorizationAllFields","Изменение всех данных пользователя с авторизацией"
"passed","Tue Feb 11 16:59:53 MSK 2025","Tue Feb 11 16:59:54 MSK 2025","793","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithoutAuthorizationPassword","updateUserWithoutAuthorizationPassword","Изменение пароля пользователя без авторизации"
"passed","Tue Feb 11 16:59:58 MSK 2025","Tue Feb 11 17:00:01 MSK 2025","3157","","ru.api.tests.UserOrdersTest","","ru.api.tests.UserOrdersTest","getUserOrdersWithAuthorization","getUserOrdersWithAuthorization","Получение заказов авторизованного пользователя"
"passed","Tue Feb 11 16:59:54 MSK 2025","Tue Feb 11 16:59:55 MSK 2025","790","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithoutAuthorizationAllData","updateUserWithoutAuthorizationAllData","Изменение всех данных пользователя без авторизации"
"passed","Tue Feb 11 16:59:49 MSK 2025","Tue Feb 11 16:59:49 MSK 2025","674","","ru.api.tests.UserCreationTest","","ru.api.tests.UserCreationTest","creationUniqueUser","creationUniqueUser","Создание уникального пользователя и удаление после проверки"
"passed","Tue Feb 11 16:59:48 MSK 2025","Tue Feb 11 16:59:48 MSK 2025","109","","ru.api.tests.UserCreationTest","","ru.api.tests.UserCreationTest","createUserWithoutRequiredFieldPassword","createUserWithoutRequiredFieldPassword","Создание пользователя без пароля и проверка на ошибку"
"failed","Tue Feb 11 16:59:54 MSK 2025","Tue Feb 11 16:59:54 MSK 2025","342","","ru.api.tests.UserDataUpdateTest","","ru.api.tests.UserDataUpdateTest","updateUserWithAuthorizationPassword","updateUserWithAuthorizationPassword","Изменение пароля пользователя с авторизацией"
"failed","Tue Feb 11 16:59:45 MSK 2025","Tue Feb 11 16:59:45 MSK 2025","105","","ru.api.tests.OrderCreationTest","","ru.api.tests.OrderCreationTest","createOrderWithNoAuthorizationAndIngredients","createOrderWithNoAuthorizationAndIngredients","Создание заказа без авторизации и без ингредиентов"
